school,course_id,keyword,count
california_state_university_long_beach,california_state_university_long_beach__163,process control,1
california_state_university_long_beach,california_state_university_long_beach__164,sustainability,4
california_state_university_long_beach,california_state_university_long_beach__165,power generation,1
california_state_university_long_beach,california_state_university_long_beach__165,renewable energy,1
california_state_university_long_beach,california_state_university_long_beach__166,renewable energy,2
california_state_university_long_beach,california_state_university_long_beach__167,hazard identification,1
california_state_university_long_beach,california_state_university_long_beach__168,control systems,1
california_state_university_long_beach,california_state_university_long_beach__169,control systems,1
california_state_university_long_beach,california_state_university_long_beach__170,power generation,1
california_state_university_long_beach,california_state_university_long_beach__170,renewable energy,1
california_state_university_long_beach,california_state_university_long_beach__171,automation,1
california_state_university_long_beach,california_state_university_long_beach__172,systems engineering,1
california_state_university_long_beach,california_state_university_long_beach__173,project management,1
california_state_university_long_beach,california_state_university_long_beach__174,project management,1
california_state_university_long_beach,california_state_university_long_beach__175,control systems,1
california_state_university_long_beach,california_state_university_long_beach__176,control systems,2
california_state_university_long_beach,california_state_university_long_beach__177,control systems,1
california_state_university_long_beach,california_state_university_long_beach__178,electrochemical,1
california_state_university_long_beach,california_state_university_long_beach__179,power generation,1
california_state_university_long_beach,california_state_university_long_beach__180,control systems,1
california_state_university_long_beach,california_state_university_long_beach__181,control systems,2
california_state_university_long_beach,california_state_university_long_beach__182,control systems,2
california_state_university_long_beach,california_state_university_long_beach__183,power transformer,1
california_state_university_long_beach,california_state_university_long_beach__184,power transformer,1
